,slide_name,level,negative,positive,negative_with_tissue,positive_with_tissue
0,tumor_001,3,3671,9,627,9
1,tumor_002,3,3638,2,333,2
2,tumor_005,3,3638,2,329,2
3,tumor_012,3,3596,4,376,4
4,tumor_016,3,3625,55,292,52
5,tumor_019,3,3637,3,274,3
6,tumor_023,3,3673,7,368,7
7,tumor_031,3,3611,69,171,66
8,tumor_035,3,3678,2,364,2
9,tumor_057,3,3671,9,362,8
10,tumor_059,3,3679,1,326,1
11,tumor_064,3,3617,63,324,54
12,tumor_075,3,1147,37,299,35
13,tumor_078,3,1464,330,565,322
14,tumor_081,3,1516,1,539,1
15,tumor_084,3,917,28,346,28
16,tumor_091,3,523,27,208,27
17,tumor_094,3,1987,22,822,22
